menu,Description,q
Mango Upside-Down Cake ,เมนูของหวาน เมนู Mango Upside-Down Cake มีวัตถุดิบ มะม่วง วานิลลา,อยากทานขนมเค้กที่มีมะม่วงและรสวานิลลา
Orange Soufflé ,เมนูของหวาน เมนู Orange Soufflé มีวัตถุดิบ ส้ม,อยากทานขนมซูเฟลต์ที่มีกลิ่นของส้ม
Citrus Terrine with Candied Grapefruit Strips ,เมนูของหวาน เมนู Citrus Terrine with Candied Grapefruit Strips มีวัตถุดิบ ส้ม,อยากกินของหวานรสชาติเปรี้ยวๆ หวานๆ
Apple Strudel Turnovers ,เมนูของหวาน เมนู Apple Strudel Turnovers มีวัตถุดิบ แอปเปิล มะนาว อบเชย ขิง พริกไทย วานิลลา,อยากกินขนมอบไส้แอปเปิล
Fat-Free Lemon Mousse ,เมนูของหวาน เมนู Fat-Free Lemon Mousse มีวัตถุดิบ มะนาว,อยากกินเค้กมูสมะนาว
Triple-Layer White Cake with Orange Curd Filling and Frosting ,เมนูของหวาน เมนู Triple-Layer White Cake with Orange Curd Filling and Frosting มีวัตถุดิบ มะนาว ส้ม วานิลลา,อยากกินเค้กเนื้อส้ม
Chocolate Tart with Candied Cranberries ,เมนูของหวาน เมนู Chocolate Tart with Candied Cranberries มีวัตถุดิบ วานิลลา ช็อกโกแลต แครนเบอร์รี่,อยากกินทาร์ตไส้ช็อกโกแลต
Oranges in Cardamom Syrup ,เมนูของหวาน เมนู Oranges in Cardamom Syrup มีวัตถุดิบ ส้ม กระวาน มะนาว อบเชย,อยากกินขนมส้ม
Cinnamon Ice Cream ,เมนูของหวาน เมนู Cinnamon Ice Cream มีวัตถุดิบ อบเชย,อยากกินอะไรเย็นๆ มีกลิ่นหอมๆ
Orange Glow Chiffon Cake ,เมนูของหวาน เมนู Orange Glow Chiffon Cake มีวัตถุดิบ ส้ม วานิลลา,อยากกินเค้กรสชาติส้ม
Rocky Road Frosting ,เมนูของหวาน เมนู Rocky Road Frosting มีวัตถุดิบ มาร์ชเมลโลว์ ช็อกโกแลต วานิลลา,อยากกินของหวานที่มีมาร์ชเมลโลว์และช็อกโกแลต
Orange Crème Caramels ,เมนูของหวาน เมนู Orange Crème Caramels มีวัตถุดิบ ส้ม,อยากกินของหวานที่มีรสชาติส้ม
Caramelized Oranges ,เมนูของหวาน เมนู Caramelized Oranges มีวัตถุดิบ ส้ม,อยากกินส้มที่มีรสคาราเมล
Caramelized Pear Tarts with Cardamom Cream ,เมนูของหวาน เมนู Caramelized Pear Tarts with Cardamom Cream มีวัตถุดิบ ลูกแพร์ มะนาว กระวาน,อยากกินขนมที่มีลูกแพร์และรสเผ็ด
Apricot Frozen Yogurt ,เมนูของหวาน เมนู Apricot Frozen Yogurt มีวัตถุดิบ แอปริคอต,อยากกินของหวานที่มีแอปริคอต
Lime Custard Tart ,เมนูของหวาน เมนู Lime Custard Tart มีวัตถุดิบ มะนาวฝรั่ง,อยากกินของหวานที่มีรสเปรี้ยวนิดๆ ด้วยมะนาว
Fruit Gratin with Calvados and Mascarpone ,เมนูของหวาน เมนู Fruit Gratin with Calvados and Mascarpone มีวัตถุดิบ แอปเปิ้ล ลูกแพร แอปริคอต พลัม มะนาว มัสกอร์โปน,อยากกินของหวานที่มีผลไม้หลายๆ อย่างผสมกัน
White Chocolate Pecan Truffles ,เมนูของหวาน เมนู White Chocolate Pecan Truffles มีวัตถุดิบ ช็อกโกแลตบรั่นดีพีแคน,หวังจะได้ทานขนมกัดง่ายที่หวานมันแต่มีกลิ่นนำของเครื่องดื่มแอลกอฮอล์
Brandied Dried Cranberries and Cherries ,เมนูของหวาน เมนู Brandied Dried Cranberries and Cherries มีวัตถุดิบ แครนเบอร์รีเชอร์รีบรั่นดี,อยากลิ้มรสขนมที่ให้ความรู้สึกเหมือนอยู่ช่วงเทศกาลที่มีผลไม้ตากหวานเยิ้มขลุกขลิกอยู่ในเครื่องดื่ม
Rainbow Daiquiri Sorbet ,เมนูของหวาน เมนู Rainbow Daiquiri Sorbet มีวัตถุดิบ รัมมะม่วงรัมมะม่วงมะม่วง,อยากทานของหวานเย็นที่สดชื่นและมีความหวานอมเปรี้ยวของผลไม้รสชาติเข้มข้นหลากชนิด
Glazed Apple Rings ,เมนูของหวาน เมนู Glazed Apple Rings มีวัตถุดิบ แอปเปิลเลมอนแอปเปิล,อยากทานผลไม้ชุบน้ำเชื่อมที่มีรสเปรี้ยวอมหวาน
Raspberry Hot Fudge Sundaes ,เมนูของหวาน เมนู Raspberry Hot Fudge Sundaes มีวัตถุดิบ ช็อกโกแลตบรั่นดีวานิลลาราสเบอร์รี,อยากทานของหวานที่มีรสชาติที่ตัดกัน ทั้งหวานขมเปรี้ยวและมีส่วนประกอบของผลไม้
Chocolate Kahlua Fantasy Cake ,เมนูของหวาน เมนู Chocolate Kahlua Fantasy Cake มีวัตถุดิบ เกรแฮมวอลนัทอัลมอนด์ช็อกโกแลตช็อกโกแลต,อยากทานเค้กที่ให้รสชาติเน้นไปทางหวานแบบช็อกโกแลตจัดเต็ม
Spiced Pumpkin Loaves with Whipped Cream ,เมนูของหวาน เมนู Spiced Pumpkin Loaves with Whipped Cream มีวัตถุดิบ คินนามอนลูกจันทน์ขิงฟักทองลูกเกดพีแคน,อยากทานขนมที่มีรสอุ่นๆ และกลิ่นหอมเครื่องเทศ
Chocolate-Cherry Truffle Tart ,เมนูของหวาน เมนู Chocolate-Cherry Truffle Tart มีวัตถุดิบ เชอร์รีช็อกโกแลตเชอร์รีมินต์,อยากทานทาร์ตที่มีส่วนประกอบของช็อกโกแลตและผลไม้รสเข้มข้น
Tea Brack ,เมนูของหวาน เมนู Tea Brack มีวัตถุดิบ ลูกเกด ส้ม อบเชย กานพลู,ฉันอยากกินของหวานที่มีรสชาติหอมหวานและมีลูกเกด
Berry-Berry Streusel Bars ,เมนูของหวาน เมนู Berry-Berry Streusel Bars มีวัตถุดิบ ข้าวโอ๊ต บลูเบอร์รี่ ราสเบอร์รี่ เลมอน,อยากกินของหวานที่ผสมผสานบลูเบอร์รี่และราสเบอร์รี่
Brownie Torte ,เมนูของหวาน เมนู Brownie Torte มีวัตถุดิบ ช็อกโกแลต วานิลลา วอลนัท กาแฟ,ฉันอยากกินของหวานที่มีรสชาติช็อกโกแลตเข้มข้นและมีถั่ว
Tepee Birthday Cakes ,เมนูของหวาน เมนู Tepee Birthday Cakes มีวัตถุดิบ ช็อกโกแลต โกโก้ น้ำผึ้ง มะพร้าว,ฉันอยากกินเค้กรูปทรงแปลกใหม่ที่มีส่วนผสมของช็อกโกแลต
Chocolate-Espresso Cookies ,เมนูของหวาน เมนู Chocolate-Espresso Cookies มีวัตถุดิบ ช็อกโกแลต วานิลลา วอลนัท,ฉันอยากกินคุกกี้ที่มีรสชาติช็อกโกแลตและกาแฟ
Spiced Caramel Oranges ,เมนูของหวาน เมนู Spiced Caramel Oranges มีวัตถุดิบ อบเชย ออลสไปซ์ รัม ส้ม,ฉันอยากกินของหวานที่มีรสชาติคาราเมลและส้ม
Free-Form Beesting Cake ,เมนูของหวาน เมนู Free-Form Beesting Cake มีวัตถุดิบ อบเชย อัลมอนด์ น้ำผึ้ง วานิลลา,อยากกินของหวานที่มีกลิ่นหอมของอบเชยและน้ำผึ้ง
Grapefruit Alaska ,เมนูของหวาน เมนู Grapefruit Alaska มีวัตถุดิบ วานิลลา,ฉันอยากกินของหวานที่มีรสชาติวานิลลา
Apple Date-Nut Bars ,เมนูของหวาน เมนู Apple Date-Nut Bars มีวัตถุดิบ แอปเปิ้ล เลมอน อินทผลัม เพคาน อบเชย,อยากกินขนมบาร์ที่ผสมผลไม้และถั่ว
Blueberry-Raspberry Cake ,เมนูของหวาน เมนู Blueberry-Raspberry Cake มีวัตถุดิบ อบเชย บลูเบอร์รี่ ราสเบอร์รี่,อยากกินเค้กที่มีผลเบอร์รี่และมีกลิ่นหอมหวาน
Milk Puddings with Berries ,เมนูของหวาน เมนู Milk Puddings with Berries มีวัตถุดิบ มะนาว วานิลลา สตรอว์เบอร์รี่,อยากกินของหวานที่ผสมวานิลลาและผลเบอร์รี่
Pine Nut Caramel Bars ,เมนูของหวาน เมนู Pine Nut Caramel Bars มีวัตถุดิบ มะนาว น้ำผึ้ง,อยากกินของหวานที่มีส่วนผสมของมะนาวและมีรสคาราเมลหวานๆ
Toblerone Dark Chocolate Honey-Almond Fondue ,เมนูของหวาน เมนู Toblerone Dark Chocolate Honey-Almond Fondue มีวัตถุดิบ น้ำผึ้ง ช็อคโกแลต บรั่นดี อัลมอนด์ ส้ม,อยากกินของหวานที่ผสมช็อคโกแลต น้ำผึ้ง และถั่ว
Apricot Crisp ,เมนูของหวาน เมนู Apricot Crisp มีวัตถุดิบ แอพริคอท ข้าวโอ๊ต อบเชย,อยากกินของหวานที่มีส่วนผสมของแอปริคอตและเนื้อกรอบๆ
Fruit in Spiced White Wine ,เมนูของหวาน เมนู Fruit in Spiced White Wine มีวัตถุดิบ ส้ม น้ำผึ้ง อบเชย วานิลลา แอปริคอต เชอร์รี,เมนูของหวาน: ฉันอยากกินของหวานที่มีกลิ่นเครื่องเทศ รสหวานอ่อน ๆ และมีผลไม้อบแห้ง
Ginger Almond Wafers ,เมนูของหวาน เมนู Ginger Almond Wafers มีวัตถุดิบ ขิง อบเชย อัลมอนด์,เมนูของหวาน: ฉันอยากกินของหวานที่บางกรอบมีรสชาติเผ็ดร้อนหน่อยและมีส่วนผสมของผลไม้ถั่ว
Golden Fruitcake ,เมนูของหวาน เมนู Golden Fruitcake มีวัตถุดิบ มะเดื่อ อินทผาลัม ลูกเกด บรั่นดี วานิลลา กระวาน ลูกจันทน์เทศ,เมนูของหวาน: ฉันอยากกินของหวานที่มีผลไม้อบแห้งหลายชนิดและมีกลิ่นเครื่องเทศหอม ๆ
Skibo Castle Ginger Crunch ,เมนูของหวาน เมนู Skibo Castle Ginger Crunch มีวัตถุดิบ ขิง วานิลลา,เมนูของหวาน: ฉันอยากกินของหวานที่มีรสเผ็ดร้อนหน่อยและมีรสช็อกโกแลตด้วย
Walnut Crepes with Raspberries and Dried Figs ,เมนูของหวาน เมนู Walnut Crepes with Raspberries and Dried Figs มีวัตถุดิบ วานิลลา มะเดื่อ ราสเบอร์รี่ น้ำผึ้ง ส้ม วอลนัท,เมนูของหวาน: ฉันอยากกินของหวานที่บางและนุ่มและมีผลไม้สดด้วย
Cherry-Berry Lattice Pie ,เมนูของหวาน เมนู Cherry-Berry Lattice Pie มีวัตถุดิบ เชอร์รี แบล็กเบอร์รี่ เลมอน วานิลลา,เมนูของหวาน: ฉันอยากกินของหวานที่มีผลไม้รสเปรี้ยวและมีรสชาติซับซ้อน
Frozen White Chocolate and Raspberry Mousse Torte ,เมนูของหวาน เมนู Frozen White Chocolate and Raspberry Mousse Torte มีวัตถุดิบ ช็อกโกแลต ราสเบอร์รี่ วนิลลา,อยากกินของหวานที่มีช็อกโกแลตและราสเบอร์รี่เนื้อนุ่มๆ
Sambuca Poached Figs with Ricotta and Pine Nuts ,เมนูของหวาน เมนู Sambuca Poached Figs with Ricotta and Pine Nuts มีวัตถุดิบ มะเดื่อ ริคอตต้า,อยากกินของหวานที่ทำจากผลไม้รสหวานและมีรสชาติหอมมัน
Cinnamon-Chocolate Ribbon Cake ,เมนูของหวาน เมนู Cinnamon-Chocolate Ribbon Cake มีวัตถุดิบ ช็อกโกแลต วานิลลา ซินนามอน,อยากกินเค้กที่มีกลิ่นและรสชาติของเครื่องเทศ
Wild Blueberry Pie ,เมนูของหวาน เมนู Wild Blueberry Pie มีวัตถุดิบ บลูเบอร์รี มะนาว ลูกจันทน์เทศ,อยากกินพายที่มีรสชาติเปรี้ยวแต่หวานด้วย
Cinnamon Nutmeg Tuiles ,เมนูของหวาน เมนู Cinnamon Nutmeg Tuiles มีวัตถุดิบ ซินนามอน ลูกจันทน์เทศ,อยากกินขนมกรอบที่มีกลิ่นหอมของเครื่องเทศ
Double-Dipped Strawberries ,เมนูของหวาน เมนู Double-Dipped Strawberries มีวัตถุดิบ สตรอว์เบอร์รี ช็อกโกแลต,อยากกินขนมที่มีสตรอว์เบอร์รีและเคลือบด้วยช็อกโกแลต
Double-Delicious Dark Chocolate Delight McMillion ,เมนูของหวาน เมนู Double-Delicious Dark Chocolate Delight McMillion มีวัตถุดิบ ช็อกโกแลต วานิลลา ซินนามอน,อยากกินขนมที่มีรสชาติของช็อกโกแลตเข้มข้น
Pumpkin-Sour Cream Custard Pie ,เมนูของหวาน เมนู Pumpkin-Sour Cream Custard Pie มีวัตถุดิบ ฟักทอง อบเชย ขิง ลูกจันทน์เทศ กานพลู,อยากกินของหวานที่มีรสชาติฟักทอง
Three-Nut Pie with Cranberries ,เมนูของหวาน เมนู Three-Nut Pie with Cranberries มีวัตถุดิบ วอลนัท พีแคน อัลมอนด์ วานิลลา แครนเบอร์รี่,อยากกินพายผลไม้ถั่ว
Individual Pear and Maple Cobblers ,เมนูของหวาน เมนู Individual Pear and Maple Cobblers มีวัตถุดิบ ลูกแพร์ เมเปิล วานิลลา ลูกจันทน์เทศ,อยากกินของหวานที่มีลูกแพร์และเมเปิล
Brandy Snap Twirls ,เมนูของหวาน เมนู Brandy Snap Twirls มีวัตถุดิบ ขิง กานพลู,อยากกินของหวานที่มีรสขิงและกานพลู
Frozen Lime Cream ,เมนูของหวาน เมนู Frozen Lime Cream มีวัตถุดิบ มะนาว,อยากกินของหวานที่มีรสเปรี้ยวของมะนาว
Mulled Apple Cider Sorbet ,เมนูของหวาน เมนู Mulled Apple Cider Sorbet มีวัตถุดิบ แอปเปิ้ล อบเชย มะนาว,อยากกินของหวานที่ทำจากแอปเปิ้ลและอบเชยที่มีรสเปรี้ยว
Anise Fritters with Four-Fruit Compote ,เมนูของหวาน เมนู Anise Fritters with Four-Fruit Compote มีวัตถุดิบ วานิลลา มินต์ แอปริคอต สับปะรด สตรอว์เบอร์รี่ องุ่น,อยากหาของหวานที่ผสมผสานความหวานของผลไม้เข้ากับเครื่องเทศสุดกลมกล่อม
Lemon Ice Cream ,เมนูของหวาน เมนู Lemon Ice Cream มีวัตถุดิบ มะนาว วานิลลา,อยากได้ไอศกรีมรสเปรี้ยวซ่อนความหวานที่ช่วยคลายความร้อนได้ดี
Pound Cake with Fresh Strawberries and Balsamic Sabayon ,เมนูของหวาน เมนู Pound Cake with Fresh Strawberries and Balsamic Sabayon มีวัตถุดิบ สตรอว์เบอร์รี่,มองหาของหวานที่มีกลิ่นหอมของผลไม้แท้ๆ ผสานกับรสชาติหวานละมุนของคาราเมล
Quinoa Pudding ,เมนูของหวาน เมนู Quinoa Pudding มีวัตถุดิบ วานิลลา วอลนัท ลูกเกด อบเชย น้ำผึ้ง,มองหาพุดดิ้งเนื้อนุ่ม หอมหวานที่ได้รสชาติความกรุบกรอบจากถั่วและผลไม้อบแห้ง
Blueberry Crisp with Oatmeal and Almond Topping ,เมนูของหวาน เมนู Blueberry Crisp with Oatmeal and Almond Topping มีวัตถุดิบ บลูเบอร์รี อบเชย โอ๊ต อัลมอนด์ วานิลลา,แนะนำของหวานที่มีผลไม้สีม่วง รสชาติเปรี้ยวหวานและมีธัญพืชกรุบกรอบด้วย
Raspberry Sour Cream Tart ,เมนูของหวาน เมนู Raspberry Sour Cream Tart มีวัตถุดิบ แกรมม์ เลมอน วานิลลา ราสเบอร์รี,ช่วยแนะนำของหวานที่มีผลไม้สีแดงและมีรสชาติเปรี้ยวเล็กน้อยหน่อย
Chocolate Earl Grey Truffles ,เมนูของหวาน เมนู Chocolate Earl Grey Truffles มีวัตถุดิบ เอิร์ล ช็อกโกแลต โกโก้,อยากทานของหวานที่มีรสชาติของช็อกโกแลต เข้ม และหรูหรา
Cinnamon-Blueberry Crunch ,เมนูของหวาน เมนู Cinnamon-Blueberry Crunch มีวัตถุดิบ บลูเบอร์รี เลมอน อบเชย วานิลลา,ผมอยากกินของหวานที่มีผลไม้สีม่วง รสชาติหวานอมเปรี้ยวนิดๆ มีเครื่องเทศ
"Pear, Cherry, and Pine Nut Tartlets ","เมนูของหวาน เมนู Pear, Cherry, and Pine Nut Tartlets มีวัตถุดิบ แอปริคอต อัลมอนด์ ลูกแพร์ เชอร์รี",อยากทานของหวานที่มีรสชาติหวานและมีผลไม้หลายชนิด
Honey-Brandy Oranges ,เมนูของหวาน เมนู Honey-Brandy Oranges มีวัตถุดิบ ส้ม แบรนดี น้ำผึ้ง,แนะนำของหวานที่มีรสชาติหวาน มีกลิ่นหอม และเน้นรสชาติของผลไม้
Warm Chocolate Tart ,เมนูของหวาน เมนู Warm Chocolate Tart มีวัตถุดิบ ช็อกโกแลต,อยากกินของหวานที่มีเนื้อนุ่ม รสชาติหวานเข้ม
Incredible Melted Ice-Cream Cake ,เมนูของหวาน เมนู Incredible Melted Ice-Cream Cake มีวัตถุดิบ มาร์ชเมลโลว์,อยากทานของหวานที่มีรสชาติหวาน เย็นๆ และมีมาร์ชเมลโลว์
Spiced Apple Cake ,เมนูของหวาน เมนู Spiced Apple Cake มีวัตถุดิบ บรั่นดี อบเชย ออลสไปซ์ กานพลู วานิลลา,อยากกินเค้กแอปเปิ้ลที่รสหวานและมีกลิ่นเครื่องเทศ
Frozen Praline Souffles ,เมนูของหวาน เมนู Frozen Praline Souffles มีวัตถุดิบ เฮเซลนัท,อยากกินซูเฟล่ที่ผสมเฮเซลนัท
Cornmeal-Cookie Sundaes with Warm Fruit ,เมนูของหวาน เมนู Cornmeal-Cookie Sundaes with Warm Fruit มีวัตถุดิบ วานิลลา อบเชย กระวาน มะนาว พลัม พีแคน,อยากได้ซันเดย์ที่ผสมวัตถุดิบหวานและเปรี้ยว
Apricot-Almond Gratins ,เมนูของหวาน เมนู Apricot-Almond Gratins มีวัตถุดิบ แอปริคอต บรั่นดี อัลมอนด์,อยากได้ของหวานที่เน้นแอปริคอต
Lemon Pie with Blueberry Topping ,เมนูของหวาน เมนู Lemon Pie with Blueberry Topping มีวัตถุดิบ แกรแฮม มะนาว บลูเบอร์รี,อยากกินพายรสเปรี้ยวที่ท็อปด้วยบลูเบอร์รี
Black Pepper and Sour Cream Pastry Dough ,เมนูของหวาน เมนู Black Pepper and Sour Cream Pastry Dough มีวัตถุดิบ พริกไทย,อยากกินของหวานที่มีรสเผ็ดแต่ก็หวานด้วย
Tarte au Sucré ,เมนูของหวาน เมนู Tarte au Sucré มีวัตถุดิบ เลมอน,อยากกินของหวานที่มีรสเปรี้ยว
Plum Soup with Honeydew Tarragon Ice ,เมนูของหวาน เมนู Plum Soup with Honeydew Tarragon Ice มีวัตถุดิบ ทาร์รากอน พลัม ไลม์,อยากกินของหวานที่มีรสชาติแบบพลัมและมีกลิ่นหอมแบบสมุนไพร
Frozen Grand Marnier Souffles ,เมนูของหวาน เมนู Frozen Grand Marnier Souffles มีวัตถุดิบ ส้ม ช็อกโกแลต,อยากกินของหวานที่มีรสเปรี้ยวแบบส้มและมีกลิ่นช็อกโกแลต
"New England Blackberry ""Torte"" ","เมนูของหวาน เมนู New England Blackberry ""Torte"" มีวัตถุดิบ วานิลลา แบล็กเบอร์รี เลมอน อบเชย",อยากกินของหวานที่มีรสชาติแบบเบอร์รี
"Cantaloupe, Honeydew, and Almond Bombe ","เมนูของหวาน เมนู Cantaloupe, Honeydew, and Almond Bombe มีวัตถุดิบ มะนาววานิลลาอัลมอนด์อัลมอนด์",อยากกินของหวานที่ทั้งหวานและเปรี้ยว เป็นผลไม้รสหวานกำลังดี
Strawberry Mousse Parfait ,เมนูของหวาน เมนู Strawberry Mousse Parfait มีวัตถุดิบ สตรอว์เบอร์รี่มะนาว,อยากกินของหวานที่เนื้อเนียน หอมๆ ผลไม้รสเปรี้ยว ตัดเลี่ยน
Nectarine Cake Squares ,เมนูของหวาน เมนู Nectarine Cake Squares มีวัตถุดิบ วานิลลาอัลมอนด์มะนาว,อยากกินของหวานที่เนื้อนุ่ม มีกลิ่นหอมละมุน ทานคู่กับผลไม้ตบท้ายมื้อได้ดี
Pear and Raisin Mince Pie with Lattice Crust ,เมนูของหวาน เมนู Pear and Raisin Mince Pie with Lattice Crust มีวัตถุดิบ ส้มลูกเกดบรั่นดีวานิลลาอบเชยลูกจันทน์เทศลูกแพร์,อยากกินของหวานที่ทั้งหวาน เปรี้ยวนิดๆ หอมกลิ่นเครื่องเทศ
Rhubarb and Ricotta Cheese Puff-Pastry Tartlets ,เมนูของหวาน เมนู Rhubarb and Ricotta Cheese Puff-Pastry Tartlets มีวัตถุดิบ มะขามยักษ์ริคอตต้า,อยากกินของหวานที่เนื้อเบาๆ มีรสเปรี้ยว หวานอมขมนิดๆ
Rustic Plum Tart ,เมนูของหวาน เมนู Rustic Plum Tart มีวัตถุดิบ พลัม ขิง อบเชย แอปริคอต,อยากกินของหวานที่มีรสชาติหอมหวานและมีเนื้อสัมผัสที่นุ่ม
Piña Colada Ice Pops ,เมนูของหวาน เมนู Piña Colada Ice Pops มีวัตถุดิบ สับปะรด รัม มะพร้าว,อยากกินของหวานที่มีรสชาติเปรี้ยวหวานและมีกลิ่นหอมของมะพร้าว
Plum Torte ,เมนูของหวาน เมนู Plum Torte มีวัตถุดิบ พลัม อบเชย วานิลลา,อยากกินของหวานที่มีรสชาติหวานหอมและมีกลิ่นหอมของเครื่องเทศ
Apple Crumb Pie ,เมนูของหวาน เมนู Apple Crumb Pie มีวัตถุดิบ แอปเปิล มะนาว อบเชย วอลนัท,อยากกินของหวานที่มีรสชาติหวานอมเปรี้ยวและมีสัมผัสที่กรุบกรอบ
Chocolate Pots de Crème ,เมนูของหวาน เมนู Chocolate Pots de Crème มีวัตถุดิบ ช็อคโกแลต,อยากกินของหวานที่มีรสชาติขมหวานและมีเนื้อสัมผัสที่นุ่มละมุน
Hot Fudge-Peppermint Sundaes ,เมนูของหวาน เมนู Hot Fudge-Peppermint Sundaes มีวัตถุดิบ ช็อกโกแลต วานิลลา,อยากกินของหวานที่มีรสชาติช็อกโกแลตและเปปเปอร์มินต์ที่มีส่วนผสมของวานิลลา
Chocolate Hazelnut Truffles ,เมนูของหวาน เมนู Chocolate Hazelnut Truffles มีวัตถุดิบ โกโก้ เฮเซลนัท ช็อกโกแลต,อยากกินของหวานที่มีเนื้อนุ่มและรสชาติช็อกโกแลตเข้มข้น
Nectarine and Mascarpone Tart in Gingersnap Crust ,เมนูของหวาน เมนู Nectarine and Mascarpone Tart in Gingersnap Crust มีวัตถุดิบ มาสคาโปเน เลมอน วานิลลา ขิง พีช,อยากกินทาร์ตที่มีรสชาติหวานมันของมาสคาโปเนตัดกับรสชาติเปรี้ยวและเผ็ดของผลไม้และเครื่องเทศ
Walnut Cheesecakes with Tokay Syrup ,เมนูของหวาน เมนู Walnut Cheesecakes with Tokay Syrup มีวัตถุดิบ องุ่น วอลนัท อินทผลัม เลมอน อบเชย วานิลลา,อยากกินชีสเค้กที่มีรสชาติหวานมันที่ตัดกับรสเปรี้ยวของผลไม้และเครื่องเทศ
Pear-Cornmeal Shortcakes with Oven-Roasted Pears ,เมนูของหวาน เมนู Pear-Cornmeal Shortcakes with Oven-Roasted Pears มีวัตถุดิบ ลูกแพร์ แอปริคอต เลมอน อบเชย แครนเบอร์รี่,อยากกินขนมอบที่กรอบนอกนุ่มในที่มีรสชาติของผลไม้และเครื่องเทศ
Caramelized Nuts ,เมนูของหวาน เมนู Caramelized Nuts มีวัตถุดิบ เฮเซลนัท อัลมอนด์ มะม่วงหิมพานต์ ลูกจันทน์ วอลนัท น้ำผึ้ง,อยากกินถั่วต่าง ๆ ที่เคลือบด้วยน้ำตาล
Fruit and Nut Chocolate Chunks ,เมนูของหวาน เมนู Fruit and Nut Chocolate Chunks มีวัตถุดิบ ช็อกโกแลต แครนเบอร์รี่ ลูกเกด พิสตาชิโอ มะม่วงหิมพานต์,อยากทานของหวานที่มีช็อกโกแลตและถั่ว
Coeurs à la Crème with Blackberries ,เมนูของหวาน เมนู Coeurs à la Crème with Blackberries มีวัตถุดิบ วานิลลา มะนาว แบล็กเบอร์รี่,อยากทานของหวานที่ดูหรูหราและมีรสเปรี้ยว
Chile Lime Tuiles ,เมนูของหวาน เมนู Chile Lime Tuiles มีวัตถุดิบ มะนาว,อยากทานขนมหวานที่มีรสชาติของผลไม้รสเปรี้ยว
Kaffir Lime Mousse with Honeydew Water ,เมนูของหวาน เมนู Kaffir Lime Mousse with Honeydew Water มีวัตถุดิบ มะนาว,อยากทานของหวานที่มีรสชาติเหมือนมะนาวหลายๆ ชนิด
"Frozen ""Creamsicle"" Cake ","เมนูของหวาน เมนู Frozen ""Creamsicle"" Cake มีวัตถุดิบ วานิลลา ส้ม",อยากทานของหวานที่มีหน้าส้มและใส้แอลกอฮอล์
Rhubarb Charlotte ,เมนูของหวาน เมนู Rhubarb Charlotte มีวัตถุดิบ รูบาร์บเลมอน,เมนูของหวานที่มีรสเปรี้ยวหวานและมีส่วนผสมจากผลไม้
Roasted Pineapple with Star Anise Pineapple Sorbet ,เมนูของหวาน เมนู Roasted Pineapple with Star Anise Pineapple Sorbet มีวัตถุดิบ แอปเปิลสับปะรด,เมนูของหวานที่ใช้สับปะรดเป็นส่วนประกอบหลักและมีรสสัมผัสกรุบกรอบ
"Pineapple ""Lasagna"" ","เมนูของหวาน เมนู Pineapple ""Lasagna"" มีวัตถุดิบ สับปะรดมะม่วงสตรอเบอรี่",เมนูของหวานที่ใช้ผลไม้หลากชนิดและมีลักษณะคล้ายลาซานญ่า
Blueberry-Nectarine Crisp ,เมนูของหวาน เมนู Blueberry-Nectarine Crisp มีวัตถุดิบ บลูเบอรี่วานิลลา,เมนูของหวานที่ให้รสชาติเปรี้ยวหวานและมีส่วนผสมของผลไม้ฤดูร้อน
Strawberry and Cream Cake with Cardamom Syrup ,เมนูของหวาน เมนู Strawberry and Cream Cake with Cardamom Syrup มีวัตถุดิบ วานิลลาเลมอนกระวานสตรอเบอรี่,เมนูของหวานที่มีรสชาติหอมหวานและมีกลิ่นเครื่องเทศเป็นเอกลักษณ์
Banana-Cream Parfaits ,เมนูของหวาน เมนู Banana-Cream Parfaits มีวัตถุดิบ วานิลลากล้วยมะพร้าว,เมนูของหวานที่ให้ความรู้สึกเบาสบายและมีส่วนผสมของผลไม้สด
Peach and Pistachio Frangipane Tart ,เมนูของหวาน เมนู Peach and Pistachio Frangipane Tart มีวัตถุดิบ พิสตาชิโอส้มพีชแอปริคอท,เมนูของหวานที่ใช้ผลไม้เป็นส่วนประกอบหลักและมีรสชาติหวานนุ่ม
Mint Granita ,เมนูของหวาน เมนู Mint Granita มีวัตถุดิบ มินต์เลมอนมิ้นต์,เมนูของหวานที่ให้ความรู้สึกสดชื่นและมีกลิ่นหอมของสมุนไพร
Boca Negra Chocolate Chipotle Cakes ,เมนูของหวาน เมนู Boca Negra Chocolate Chipotle Cakes มีวัตถุดิบ ส้ม ช็อกโกแลต วานิลลา,อยากกินเค้กช็อกโกแลตที่มีรสชาติเข้มข้นและมีผลไม้
"Pear, Chocolate, and Hazelnut Crostata ","เมนูของหวาน เมนู Pear, Chocolate, and Hazelnut Crostata มีวัตถุดิบ ลูกแพร์ เฮเซลนัท ช็อกโกแลต",อยากกินขนมอบที่มีผลไม้ ถั่ว และช็อกโกแลต
Warm Crepes with Hazelnut Brown Butter ,เมนูของหวาน เมนู Warm Crepes with Hazelnut Brown Butter มีวัตถุดิบ เฮเซลนัท เลมอน,อยากกินเครปที่มีรสชาติของถั่วและเนย
Orange-Cardamom Cupcakes with Vanilla Frosting ,เมนูของหวาน เมนู Orange-Cardamom Cupcakes with Vanilla Frosting มีวัตถุดิบ ลูกกระวาน ส้ม วานิลลา,อยากกินคัพเค้กที่มีรสชาติของส้มและกลิ่นหอมของเครื่องเทศ
